name,CEFR,Redundant component in clause or sentence,Prepositions,Choice of lexical item,Spelling,Punctuation,Confusion of structures,Word order,Choice of tense,Verb pattern,Articles,Absence of a component in clause or sentence,Word choice,Degree of comparison,Modals,Noun number,Confusion of categories,Conjunctions,Determiners,Relative clauses,Agreement,Parallel constructions,Voice,Referential device,Linking device,Absence of necessary explanation or detail,Tense form,Derivational affixes,Derivation,Ð˜ÑÐ¿Ñ€Ð°Ð²Ð»ÐµÐ½Ð¸Ðµ,"Change, addition, deletion of a part of collocation",Prepositional noun,Pronouns,Coherence,Capitalisation,Infinitive construction,Inappropriate register,Prepositional adjective,Comparative construction,Negation,Quantifiers,Countable/uncountable,Participle or gerund construction,Numerals,Possessive form of a noun,ÐšÐ¾Ð¼Ð¼ÐµÐ½Ñ‚Ð°Ñ€Ð¸Ð¹,Discourse,Adjectives,Noun + Infinitive,Compound word,Nouns,Adverbs,Adjective as a collective noun,Tense,Prepositional adverb,Verbs,Vocabulary,Comparative_construction,Article
2014_ADe_12_2.txt,C1,NA,3,2,NA,3,NA,1,NA,NA,4,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_ADe_13_2.txt,B2,2,3,7,2,4,NA,3,4,1,9,4,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_ADe_14_2.txt,B1+,2,NA,4,1,2,NA,2,3,1,10,4,1,2,1,1,2,NA,1,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_ADe_15_2.txt,B2+,3,1,4,3,1,NA,2,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_ADe_16_2.txt,C1,NA,1,2,NA,NA,NA,NA,1,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_ADe_17_2.txt,B1,2,4,2,3,5,NA,1,3,1,7,6,2,NA,NA,3,2,NA,NA,NA,NA,NA,NA,4,NA,1,4,1,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_ADe_18_2.txt,B2+,1,2,5,1,NA,NA,NA,NA,NA,2,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_ADe_19_2.txt,C1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_ADe_1_2.txt,B2+,1,NA,2,2,1,NA,1,4,1,2,3,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_ADe_20_2.txt,B1+,NA,6,NA,9,3,NA,1,2,1,3,5,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_ADe_21_2.txt,B1,1,3,2,4,1,1,NA,NA,2,10,3,1,1,1,2,7,NA,1,NA,NA,NA,2,NA,NA,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_ADe_2_2.txt,C1,2,1,3,3,2,NA,1,NA,NA,6,2,2,NA,1,3,NA,NA,2,NA,1,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_ADe_3_2.txt,B1+,NA,NA,NA,7,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_ADe_8_2.txt,B1,5,3,5,6,7,NA,2,1,4,16,4,5,2,NA,1,2,NA,2,NA,2,1,NA,NA,NA,3,NA,1,2,NA,2,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AEr_2_2.txt,B1,3,3,10,2,4,1,1,1,4,14,2,1,NA,1,2,NA,1,1,NA,3,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,4,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AEr_5_2.txt,B1+,1,3,5,7,NA,2,NA,7,1,1,1,NA,NA,1,NA,NA,3,NA,NA,1,NA,NA,NA,2,2,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AEr_8_2.txt,B1+,2,NA,4,3,2,2,1,2,1,12,NA,NA,1,NA,2,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AMe_12_2.txt,B1+,NA,1,NA,3,NA,NA,NA,NA,NA,5,NA,1,NA,2,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AMe_13_2.txt,B1,3,3,1,3,3,NA,2,4,1,3,6,1,NA,NA,NA,7,3,1,2,3,NA,4,2,1,3,1,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AMe_14_2.txt,B1+,1,1,3,6,2,NA,1,NA,NA,1,1,4,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AMe_16_2.txt,B1,2,4,6,3,2,NA,2,NA,1,3,3,1,1,3,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AMe_18_2.txt,C1,1,1,2,3,5,NA,5,1,NA,3,3,5,NA,NA,1,1,1,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AMe_19_2.txt,B1,12,3,7,13,1,NA,NA,2,1,3,7,NA,1,2,NA,4,2,1,2,2,NA,1,NA,NA,NA,NA,5,NA,1,NA,1,3,NA,1,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AMe_1_2.txt,B1+,NA,3,5,19,9,NA,3,2,1,5,NA,NA,NA,2,NA,1,NA,NA,NA,3,NA,NA,1,NA,NA,3,NA,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AMe_20_2.txt,B1+,1,NA,1,6,2,NA,NA,1,NA,3,1,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AMe_21_2.txt,B1,1,NA,4,3,4,1,NA,1,2,12,1,1,NA,NA,5,3,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,4,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AMe_24_2.txt,B1,NA,NA,3,4,NA,NA,1,NA,1,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AMe_27_2.txt,B1+,NA,1,3,3,4,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AMe_29_2.txt,B1,NA,NA,NA,1,4,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AMe_2_2.txt,B1,NA,NA,4,10,7,NA,NA,2,1,5,1,NA,NA,NA,NA,NA,1,1,NA,3,NA,1,NA,1,NA,NA,NA,1,7,2,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AMe_31_2.txt,B2+,NA,4,NA,3,3,NA,4,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,6,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AMe_32_2.txt,B1+,NA,NA,3,4,6,NA,1,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,9,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AMe_4_2.txt,B2+,NA,NA,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,3,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AMe_6_2.txt,B1+,1,NA,3,3,NA,NA,NA,2,1,3,1,NA,NA,2,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_AMe_8_2.txt,B1+,NA,NA,1,7,1,NA,1,2,NA,2,1,3,NA,3,3,NA,NA,NA,NA,5,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_ASt_10_2.txt,B1+,2,3,7,2,5,NA,NA,2,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,3,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014_ASt_11_2.txt,B1+,3,3,10,3,10,NA,1,NA,1,6,2,NA,NA,NA,3,1,NA,1,2,3,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
